"anio","iso3","pais_nombre","produccion_acuicola","produccion_captura","produccion_total","share_global"
"1961","ARG","Argentina","0","101900","101900","0.245528111450776"
"1962","ARG","Argentina","1","101306","101307","0.224413530336929"
"1963","ARG","Argentina","2","130571","130573","0.282574628150169"
"1964","ARG","Argentina","4","168604","168608","0.329800771975336"
"1965","ARG","Argentina","5","205000","205005","0.392867385631964"
"1966","ARG","Argentina","5","250800","250805","0.444925654706846"
"1967","ARG","Argentina","8","240860","240868","0.401844633499453"
"1968","ARG","Argentina","11","223121","223132","0.35282741206441"
"1969","ARG","Argentina","15","202800","202815","0.326799749942561"
"1970","ARG","Argentina","19","214500","214519","0.314685384441654"
"1971","ARG","Argentina","23","228608","228631","0.333313880511046"
"1972","ARG","Argentina","27","237948","237975","0.368214137219541"
"1973","ARG","Argentina","31","301989","302020","0.461706207604953"
"1974","ARG","Argentina","36","295965","296001","0.427842236714654"
"1975","ARG","Argentina","42","232209","232251","0.337223792578858"
"1976","ARG","Argentina","49","281727","281776","0.388994537005097"
"1977","ARG","Argentina","57","402723","402780","0.558951002257723"
"1978","ARG","Argentina","67","541892","541959","0.727755484663407"
"1979","ARG","Argentina","78","580657","580735","0.772917038092897"
"1980","ARG","Argentina","90","400011","400101","0.524661101706094"
"1981","ARG","Argentina","105","374777","374882","0.474994952183364"
"1982","ARG","Argentina","123","488112","488235","0.600573559000489"
"1983","ARG","Argentina","143","428064","428207","0.523019863716278"
"1984","ARG","Argentina","150","322563","322713","0.363682802923265"
"1985","ARG","Argentina","270","419470","419740","0.457937445722811"
"1986","ARG","Argentina","270","422424","422694","0.430038459036579"
"1987","ARG","Argentina","353","461568","461921","0.459509106814824"
"1988","ARG","Argentina","353","496041","496394","0.469520873341601"
"1989","ARG","Argentina","300","494683","494983","0.461361157834958"
"1990","ARG","Argentina","300","560857","561157","0.539473714760134"
"1991","ARG","Argentina","350","642362","642712","0.614952421282045"
"1992","ARG","Argentina","402","745678","746080","0.682757757422139"
"1993","ARG","Argentina","707","984908","985615","0.861954410072956"
"1994","ARG","Argentina","763","999814","1000577","0.810622551441723"
"1995","ARG","Argentina","1474","1175635","1177109","0.925225996815302"
"1996","ARG","Argentina","1322","1290065","1291387","0.981190399722582"
"1997","ARG","Argentina","1314","1389550","1390864","1.05847444931321"
"1998","ARG","Argentina","1040","1165404","1166444","0.92509757115161"
"1999","ARG","Argentina","1218","1086938","1088156","0.80323662444387"
"2000","ARG","Argentina","1784","922289","924073","0.663194886612431"
"2001","ARG","Argentina","1340","931282","932622","0.670398495527457"
"2002","ARG","Argentina","1457","946535","947992","0.664917106734947"
"2003","ARG","Argentina","1647","911283","912930","0.639492595851516"
"2004","ARG","Argentina","1848","945978","947826","0.624326523528565"
"2005","ARG","Argentina","2057","934009","936066","0.604359999502024"
"2006","ARG","Argentina","2528","1176616","1179144","0.752264302670324"
"2007","ARG","Argentina","2957","992618","995575","0.622439750528445"
"2008","ARG","Argentina","2700","999949","1002649","0.616317555384289"
"2009","ARG","Argentina","2582.95","872632","875214.95","0.529170053516308"
"2010","ARG","Argentina","2654.35","818162","820816.35","0.489076063091026"
"2011","ARG","Argentina","3193.25","815988","819181.25","0.465764975785214"
"2012","ARG","Argentina","2958.42","762560","765518.42","0.425986141997744"
"2013","ARG","Argentina","3825.12","890305","894130.12","0.475160310399722"
"2014","ARG","Argentina","4002.71","853436","857438.71","0.443627996711633"
"2015","ARG","Argentina","3662.65","835850","839512.65","0.423185527680401"
"2016","ARG","Argentina","3673.485","771152","774825.485","0.386384395398247"
"2017","ARG","Argentina","3567.76","849268","852835.76","0.409533038571157"
"2018","ARG","Argentina","3205.31","838209","841414.31","0.391415562131352"
"2019","ARG","Argentina","2592.19","854642","857234.19","0.399138047610282"
"2020","ARG","Argentina","2084.5","859922.518","862007.018","0.401272676804267"
"2021","ARG","Argentina","3687","853904.782","857591.782","0.389366864609564"
"2022","ARG","Argentina","6022.03","847754.718","853776.748","0.380193987744425"
