anio,desembarque_toneladas_fao,desembarque_toneladas_magyp,valor_empalme,geocodigoFundar,geonombreFundar
1950,43900.0,,67226.329058594,,
1951,62100.0,,84371.5747262702,,
1952,67300.0,,89270.2163456062,,
1953,68000.0,,89929.6488712861,,
1954,70200.0,,92002.1510948513,,
1955,71000.0,,92755.7882670569,,
1956,66400.0,,88422.374526875,,
1957,71600.0,,93321.016146211,,
1958,71800.0,,93509.4254392624,,
1959,76800.0,,98219.6577655471,,
1960,85100.0,,106038.64342718,,
1961,77500.0,,98879.0902912269,,
1962,82306.0,,103406.565603252,,
1963,110371.0,,129845.099650688,,
1964,143504.0,,161057.925184045,,
1965,172100.0,,187996.685904533,,
1966,211100.0,,224736.498049553,,
1967,194960.0,,209531.868100306,,
1968,187221.0,,202241.370505683,,
1969,169100.0,,185170.546508762,,
1970,185800.0,,200902.722478553,,
1971,201308.0,,215511.979061757,,
1972,211148.0,,224781.716279885,,
1973,270089.0,,280306.876988594,,
1974,266384.0,,276816.594834817,,
1975,199068.0,,213401.794979582,,
1976,256206.0,,267228.445911432,,
1977,369431.0,,373891.656940148,,
1978,503654.0,,500335.959646329,,
1979,549276.0,,543314.003484281,,
1980,376865.0,,380894.830362868,,
1981,351857.0,,357336.132359723,,
1982,459645.0,,458877.436756837,,
1983,401771.0,,404357.439626557,,
1984,305484.0,,313650.611626363,,
1985,396832.0,,399704.672134653,,
1986,411748.0,,413756.237210426,,
1987,450797.0,,450542.209632244,,
1988,482681.0,,480578.419130496,,
1989,481383.0,503310.42,503310.42,,
1990,548035.0,583292.646,583292.646,,
1991,629906.0,704381.163,704381.163,,
1992,732588.0,731211.764,731211.764,,
1993,970326.0,970626.874,970626.874,,
1994,983773.0,984312.055,984312.055,,
1995,1155879.0,1148679.383,1148679.383,,
1996,1268376.0,1249543.788,1249543.788,,
1997,1365915.0,1343260.257,1343260.257,,
1998,1141292.0,1120153.404,1120153.404,,
1999,1058468.0,1019736.558,1019736.558,,
2000,891379.0,850312.62,850312.62,,
2001,915545.0,875011.016,875011.016,,
2002,927711.0,880876.808,880876.808,,
2003,883604.0,839304.499,839304.499,,
2004,910943.0,873626.043,873626.043,,
2005,895935.0,861661.466,861661.466,,
2006,1138363.0,1073756.527,1073756.527,,
2007,965714.0,917181.475,917181.475,,
2008,983837.0,929920.71,929920.71,,
2009,845717.0,769757.375,769757.375,,
2010,796304.0,764658.358,764658.358,,
2011,775010.0,733571.248,733571.248,,
2012,723737.0,692262.572,692262.572,,
2013,858422.0,824145.11,824145.11,,
2014,815355.0,791107.982,791107.982,,
2015,795415.0,767708.447,767708.447,,
2016,736337.0,705724.937,705724.937,,
2017,813007.0,778960.767,778960.767,,
2018,815187.0,791655.874,791655.874,,
2019,800611.0,781226.658,781226.658,,
2020,818156.668,789756.049,789756.049,,
2021,835298.782,798052.634,798052.634,,
2022,834620.718,797893.774,797893.774,,
2023,,781626.322,781626.322,,
2024,,821504.322,821504.322,,
